username,ip,device_type,prediction
login,206.178.148.50,Unknown,suspicious
john,10.4.106.85,Desktop,suspicious
login,216.4.160.109,Tablet,suspicious
user1,106.61.213.239,Tablet,suspicious
admin,23.62.181.195,Unknown,suspicious
guest,217.71.104.210,Tablet,suspicious
john,99.182.74.97,Desktop,suspicious
root,117.105.23.109,Mobile,suspicious
guest,104.109.29.40,Mobile,normal
user,208.224.165.146,Desktop,suspicious
test,198.148.98.131,Tablet,suspicious
login,213.158.233.154,Unknown,suspicious
admin,162.110.130.204,Desktop,suspicious
demo,86.233.55.40,Unknown,suspicious
john,207.12.59.25,Desktop,suspicious
root,216.132.201.248,Tablet,suspicious
admin,94.228.14.210,Desktop,suspicious
john,160.141.1.122,Desktop,suspicious
alice,136.226.10.50,Desktop,suspicious
test,111.54.58.242,Mobile,suspicious
user1,96.21.111.19,Tablet,suspicious
guest,112.138.57.182,Unknown,suspicious
demo,90.185.199.75,Mobile,suspicious
guest,85.32.69.76,Desktop,suspicious
alice,153.167.212.175,Desktop,suspicious
test,66.24.2.191,Mobile,suspicious
admin,39.34.61.179,Mobile,suspicious
guest,190.25.141.38,Mobile,suspicious
alice,151.102.230.129,Tablet,suspicious
guest,167.109.67.167,Tablet,suspicious
user1,151.197.60.228,Unknown,suspicious
user,66.116.82.128,Tablet,suspicious
john,73.63.73.70,Mobile,suspicious
user1,53.244.147.232,Tablet,suspicious
login,2.222.112.30,Mobile,suspicious
admin,54.10.80.194,Mobile,suspicious
login,24.79.128.76,Mobile,suspicious
user1,216.142.143.113,Tablet,suspicious
alice,202.227.11.135,Mobile,suspicious
admin,166.152.76.67,Unknown,suspicious
guest,2.206.200.134,Mobile,suspicious
alice,37.229.27.227,Unknown,normal
alice,175.0.70.35,Unknown,suspicious
alice,43.203.194.104,Mobile,suspicious
root,17.130.104.7,Desktop,suspicious
demo,53.157.232.141,Mobile,suspicious
john,121.91.186.41,Desktop,suspicious
alice,1.191.102.205,Desktop,suspicious
alice,42.145.14.119,Mobile,suspicious
user,26.76.19.168,Tablet,suspicious
alice,71.202.147.68,Mobile,suspicious
alice,191.187.19.213,Mobile,suspicious
alice,37.17.127.24,Desktop,suspicious
admin,152.198.18.217,Unknown,suspicious
login,218.118.48.170,Desktop,suspicious
test,129.141.86.106,Unknown,suspicious
user,194.159.245.72,Unknown,suspicious
demo,175.250.44.239,Tablet,suspicious
guest,212.40.165.149,Unknown,suspicious
test,7.66.48.39,Unknown,suspicious
test,130.201.151.23,Tablet,suspicious
login,48.101.238.230,Tablet,suspicious
john,160.68.62.122,Tablet,suspicious
admin,176.166.187.106,Unknown,suspicious
login,185.33.211.104,Mobile,suspicious
test,76.206.234.124,Desktop,suspicious
guest,3.221.52.82,Tablet,suspicious
demo,130.198.212.95,Tablet,suspicious
admin,204.25.30.241,Unknown,suspicious
user1,213.45.200.221,Mobile,suspicious
login,210.43.10.71,Unknown,suspicious
john,86.203.183.131,Tablet,suspicious
alice,104.97.176.32,Desktop,suspicious
admin,192.24.152.29,Unknown,suspicious
user,136.95.125.193,Mobile,suspicious
john,126.94.226.19,Desktop,suspicious
alice,55.149.5.213,Tablet,suspicious
alice,7.97.49.50,Unknown,suspicious
login,71.86.250.134,Mobile,suspicious
guest,218.223.255.42,Desktop,suspicious
root,194.129.67.100,Desktop,suspicious
admin,2.18.241.202,Desktop,suspicious
demo,110.226.101.47,Desktop,suspicious
demo,119.161.93.157,Desktop,suspicious
alice,109.197.45.35,Desktop,suspicious
demo,105.142.52.107,Unknown,suspicious
user1,110.144.236.206,Mobile,suspicious
user,160.31.48.160,Mobile,suspicious
john,142.202.208.211,Tablet,suspicious
john,32.66.180.188,Tablet,suspicious
root,153.135.53.18,Desktop,suspicious
demo,147.179.123.237,Mobile,suspicious
alice,64.97.229.148,Tablet,suspicious
user1,11.128.25.103,Tablet,suspicious
alice,6.215.159.83,Tablet,suspicious
john,85.56.78.123,Tablet,suspicious
user1,173.255.106.155,Unknown,suspicious
alice,163.251.70.235,Mobile,suspicious
john,136.43.68.228,Tablet,suspicious
root,65.10.192.239,Tablet,suspicious
john,61.119.227.1,Tablet,suspicious
user,91.143.129.249,Desktop,suspicious
user1,162.155.119.60,Unknown,suspicious
user,205.179.241.213,Tablet,suspicious
root,25.143.95.189,Unknown,suspicious
guest,178.120.106.247,Desktop,suspicious
