username,ip,device_type,prediction
kevinjennings,114.33.181.244,Windows,suspicious
sandra50,120.168.171.65,Android,suspicious
qwalker,112.253.214.207,Mobile,suspicious
benjaminrobinson,210.70.229.241,Tablet,suspicious
velasquezbrandy,166.73.125.187,Mac,normal
leemike,197.200.136.119,Mobile,suspicious
xroman,132.186.29.242,Linux,suspicious
joeallen,217.201.178.1,Mac,normal
danayoung,133.50.7.103,Tablet,suspicious
ribarra,105.81.97.64,Tablet,normal
wrightamanda,202.145.91.238,Linux,suspicious
jamiemarks,45.111.116.77,Linux,suspicious
andrewrodriguez,130.122.22.170,Mac,suspicious
shannoncameron,60.8.157.11,Desktop,suspicious
idavis,124.238.216.219,Tablet,normal
dhess,196.62.4.69,Windows,suspicious
williamshannah,72.140.85.38,Tablet,suspicious
elane,40.102.120.105,Mac,suspicious
tchaney,12.251.120.33,Mac,suspicious
diazjessica,203.2.246.67,Tablet,normal
lwise,216.39.253.140,Mac,normal
bmorse,211.144.146.89,Desktop,suspicious
traceyfoster,71.137.161.123,Mobile,suspicious
hoffmankatherine,215.202.15.240,Desktop,suspicious
jwatkins,131.43.23.36,Mobile,normal
tracydudley,145.92.52.127,Windows,suspicious
tammyhernandez,104.49.32.93,Linux,normal
reeseleslie,28.155.186.68,Mobile,normal
caseycarrie,188.78.221.122,Mobile,normal
christopher39,63.224.227.241,Android,normal
virwin,213.90.224.71,Desktop,suspicious
simsanne,110.162.90.252,Mobile,normal
ljones,185.90.8.105,Mobile,normal
whitechristine,37.9.252.126,Android,suspicious
williammanning,191.84.49.74,Android,normal
ymcintosh,210.128.150.235,Windows,normal
josephgarcia,171.5.119.181,Desktop,normal
gregory07,186.161.70.204,Mobile,suspicious
stephanie93,88.105.145.114,Mobile,suspicious
desireeramirez,216.159.144.123,Linux,suspicious
pyates,138.53.69.205,Windows,suspicious
jodifreeman,136.196.96.31,Desktop,suspicious
williamtucker,154.179.12.151,Windows,normal
tavila,123.193.156.189,Desktop,normal
rachelliu,60.95.29.183,Android,suspicious
steven06,179.81.87.12,Linux,normal
